generating_model,dataset,param,n,r,p_value,ci_lo,ci_hi,method
BanditSticky,1,kappa,100,0.9506863118170699,1.2627343826317268e-51,0.9274534456743314,0.9666078054320287,Pearson's product-moment correlation
BanditSticky,1,omega,100,0.8370149832451091,2.0768614209337864e-27,0.7666355048013187,0.887520392852957,Pearson's product-moment correlation
BanditSticky,1,tau,100,0.8585460491448601,3.463792227343326e-30,0.7964337374872041,0.9027327356598547,Pearson's product-moment correlation
BanditSticky,1,theta,100,0.9624504924335291,2.656077510873959e-57,0.9446026172489095,0.9746231959433251,Pearson's product-moment correlation
MotorSticky,1,kappa,100,0.9844549239710582,7.662236349017587e-76,0.9769432201665333,0.9895323361029926,Pearson's product-moment correlation
MotorSticky,1,omega,100,0.7778153216058491,1.757874395333771e-21,0.6862387099872351,0.8451187187324762,Pearson's product-moment correlation
MotorSticky,1,tau,100,0.8338758497126533,4.881658833866084e-27,0.7623162303536519,0.8852932663579648,Pearson's product-moment correlation
MotorSticky,1,theta,100,0.9606300403189832,2.5868482687022796e-56,0.9419424743373865,0.9733848896331058,Pearson's product-moment correlation
Omega,1,omega,100,0.8599690077192993,2.187679083816847e-30,0.7984137452070789,0.9037342207439953,Pearson's product-moment correlation
Omega,1,tau,100,0.9273086165947255,1.2958828282230114e-43,0.8936623496033097,0.9505866748600317,Pearson's product-moment correlation
Reward,1,tau,100,0.8105455827264955,1.6772514598625675e-24,0.7304135691562819,0.8686668645888516,Pearson's product-moment correlation
Theta,1,tau,100,0.869323422759708,9.351313252745658e-32,0.8114633841895404,0.9103059988486333,Pearson's product-moment correlation
Theta,1,theta,100,0.9504431613876146,1.5974866620289313e-51,0.9271000222717319,0.966441808401656,Pearson's product-moment correlation
ThetaOmega,1,omega,100,0.8191255472499928,2.160325197764694e-25,0.7421056172622472,0.8747966683201888,Pearson's product-moment correlation
ThetaOmega,1,tau,100,0.8769196928093221,6.01233205882108e-33,0.82210299108765,0.9156274662635737,Pearson's product-moment correlation
ThetaOmega,1,theta,100,0.9589301934567275,1.9705716923254894e-55,0.9394606823941611,0.9722279485369916,Pearson's product-moment correlation
