id,tau,omega,tau_est,omega_est
2,2.4113076112792164,-0.6786848003976047,3.120199604150952,-0.5047229010841461
3,1.0952036455943948,-0.21492714993655682,0.9423400422932631,-0.18646339014104296
4,2.871884292939919,-0.26890121679753065,2.8730088442067148,-0.279550866113871
8,2.1169333194138775,0.5706995078362525,1.7178405229487448,0.38035727677485287
11,1.9152236209106424,-0.5672054057940841,2.01625664460981,-0.5438392422492234
12,1.0013681303736952,0.30823346786201,1.3290067177406057,0.11784368650739714
15,3.165248738303088,-0.398166679777205,3.326313407421584,-0.6124661301800631
19,19.42325934649451,0.682295844424516,14.093451048933632,0.6268669823937808
23,2.4509259570204853,-0.9818091676570475,2.536133061750163,-0.7737212604243607
24,1.310320913978132,-0.7760720676742494,1.1409677373952738,-0.47308907535595196
26,5.52958488171076,-0.677325691562146,9.690535376599863,-0.36971720922945006
28,4.295123097891856,0.8058666456490755,2.9249032859118134,1.079027760070335
29,1.1011356402328225,-0.8090179259888828,1.0004664388262083,-0.5196665927147976
32,17.33057178813926,-0.15093287313356996,21.21343308644339,-0.26763019051836573
35,1.4597014602463365,-0.2293433495797217,0.57067329022818,-0.04188781302326532
36,2.544387074406363,-0.4728023838251829,2.0394126809085726,-0.19515705126527969
39,1.4801919008503215,0.8891703854314983,2.837543342160325,0.8419782291408706
41,1.6066388817824384,0.8268750673159957,0.9924393126688882,0.7006918883807246
42,4.8324567155425315,-0.6193742114119232,3.2485738410619294,-0.9916143819544389
46,2.533860097757388,-0.936934931203723,2.9521466223146504,-0.6965700437627691
47,1.7418273107778568,0.02002178132534027,2.0481048290694615,-0.11010314413714653
48,1.8276941610787985,-0.247401162981987,1.6579845454576931,-0.48061558183039566
51,1.9485254500952105,-0.6097105210646987,2.145152628830419,-0.37675272531851844
54,1.0457072421655444,-0.5381699241697788,0.7139113003871792,-0.10585872850685513
57,1.4386445400099779,0.9790509580634534,0.5599739336081409,0.23016743919332994
58,1.7714473562585842,-0.49312904430553317,2.3297950769406173,-0.1486234664374022
60,2.4277821954751473,-0.37420709943398833,2.3240840482095155,-0.3869827292113918
61,1.1566727252086426,-0.7428305163048208,1.0916915514880627,-0.09312567813509352
63,1.8810535782210116,-0.2146593825891614,1.0352609156394899,-0.45483106085707425
66,1.03492278480747,0.4375413195230067,0.502161161871182,0.3868792371371689
67,1.1599876307577712,-0.37698738602921367,0.602763264399395,0.4227365930703397
68,1.7118255842817311,0.01320184301584959,1.0054704139227013,0.1879611033927329
69,6.6753743941971235,0.6251627136953175,6.866814654784275,0.5014826818018192
70,19.185454381183856,-0.6204303661361337,11.894675870054579,-0.8231989743678052
71,1.1126953789321377,-0.7486018487252295,0.8291970992462464,-0.24930601644959188
72,3.209546546514899,-0.7618651096709073,3.714255187641412,-0.5793661145348783
73,1.0086889521143052,0.07597744604572654,0.5006803757347912,0.21169910317327825
76,1.570880181978054,-0.22279668226838112,1.5878469852498467,-0.6239810246412268
78,4.345086183431388,0.2703132317401469,4.56574383138232,0.09947130078576989
80,2.39130277590877,-0.325040714815259,2.2000118730543576,-0.3111490907164784
82,2.981423463525256,-0.5845063892193139,3.873539351451808,-0.3059144102609123
84,1.6689802811698549,0.8757690750062466,1.1749292911247926,0.41521613968545984
85,1.8575206064382452,-0.9840195481665432,2.1313427879976063,-0.7483575768272163
87,1.8742477201830334,-0.3442287049256265,2.532693940777252,-0.17850830350670494
88,3.03172445650664,0.7985270395874977,2.113911607546579,0.3275230293062558
97,1.908041910098633,0.9453632896766067,2.0764285222865917,0.6894907797024885
