id,tau,tau_est
1,3.343659110497385,2.7529580693867386
4,10.440554589355315,7.378604617199535
7,1.7766684622113333,1.7801264943218926
8,1.7274249920660392,2.4343231229435593
9,1.7584838678787889,1.8557102865466895
10,2.4352217716592532,2.892771965557728
11,1.6115439582588613,2.2470395382941843
12,2.7138992675446625,2.9284233691898134
13,2.1733155280850522,1.2931455848806583
16,1.116596807083126,0.7866973077181686
17,1.666973164913317,1.381115937243179
18,2.4872941096370034,1.9636167519029548
19,2.3098248063921973,1.7207966084846902
22,1.6334362043020887,1.3932846033817856
23,1.5535581369450724,0.860270164541173
25,2.001146461222875,2.3283679759404476
26,4.255468707089813,5.044388846174448
28,2.783351349265981,3.2519676759061737
29,1.0152534648307177,0.9955640114081745
30,2.5496308938112318,2.1216304711363803
32,1.6089681595868757,1.2416523191263553
33,2.0328526186696076,1.96090517139105
34,1.6507967672390023,1.2900523294969828
35,5.099249994830188,3.5963073192247683
36,3.2143310422667937,4.0203355290562035
37,8.846657012417149,6.970967619808273
38,3.8228384334398693,3.835981357199337
39,1.3421782565652631,1.378179077756255
40,1.5934437273870439,1.7990957558166094
42,2.9114252085421897,2.086671971120796
43,2.3522319273393086,2.2666215925502486
44,1.3239543816279598,1.405513084778682
45,2.702940018396189,2.5380091508069818
46,2.634028222278422,2.3648057932690576
47,3.026231731708549,2.1388542228484924
48,3.497281266479918,4.084692062495701
49,1.6884789920566143,1.064385835916271
50,1.6435358996001679,1.606296261951303
51,6.086244694540132,5.940504342109814
52,1.7897499631225156,2.1225386298227646
53,3.0309909868836313,3.253235325204789
54,2.7592585697503242,2.343991358925296
55,1.176224254097574,1.6614710965087753
58,2.1670210230129645,1.9258000648062137
60,3.1829503436598836,3.732358290446805
63,1.035371593484715,1.0444411093914374
64,1.9535213795120014,1.8455419237804909
65,1.0076337453053534,1.1516684331691365
67,3.122418109556115,2.165634092012612
72,1.5769123688295372,2.368709625429183
73,1.4427109283558872,1.387310139565627
76,1.1657893514421744,1.1497483141766522
77,4.0176652354269855,4.285684825809133
78,2.0618049265326746,2.2583226711616082
80,1.3730837393183042,1.1211602444825237
81,1.1945743836882452,0.804150607086257
82,1.18529783060811,1.1819390547043853
83,3.9444198577399368,2.8928665534857174
84,1.1898023137377356,0.8181891270305571
88,1.4959058984191436,1.390201214516314
89,1.2111784005934165,1.9652109707824916
90,3.3019984616136715,2.4549593148656026
91,1.0545971216093681,0.9475530253027712
95,1.641455655545345,1.153631411913547
97,3.1099543372710388,2.8178439899863252
